patient_id,n_samples,n_correct,acc
1,5.0,5.0,1.0
10,5.0,5.0,1.0
11,5.0,0.0,0.0
12,5.0,5.0,1.0
13,5.0,5.0,1.0
14,5.0,5.0,1.0
15,5.0,0.0,0.0
16,5.0,5.0,1.0
17,5.0,5.0,1.0
18,5.0,5.0,1.0
19,5.0,5.0,1.0
2,5.0,1.0,0.2
20,5.0,5.0,1.0
21,5.0,5.0,1.0
22,5.0,5.0,1.0
23,5.0,5.0,1.0
24,5.0,5.0,1.0
25,5.0,4.0,0.8
26,5.0,5.0,1.0
27,5.0,5.0,1.0
28,5.0,5.0,1.0
29,5.0,4.0,0.8
3,5.0,5.0,1.0
30,5.0,5.0,1.0
31,5.0,2.0,0.4
32,5.0,2.0,0.4
33,5.0,5.0,1.0
34,5.0,5.0,1.0
35,5.0,5.0,1.0
36,5.0,0.0,0.0
37,5.0,3.0,0.6
38,5.0,3.0,0.6
39,5.0,3.0,0.6
4,5.0,5.0,1.0
40,5.0,5.0,1.0
41,5.0,5.0,1.0
42,5.0,5.0,1.0
43,5.0,0.0,0.0
44,5.0,3.0,0.6
45,5.0,0.0,0.0
46,5.0,3.0,0.6
47,5.0,0.0,0.0
48,5.0,5.0,1.0
49,5.0,5.0,1.0
5,5.0,5.0,1.0
50,5.0,0.0,0.0
51,5.0,2.0,0.4
52,5.0,4.0,0.8
53,5.0,3.0,0.6
54,5.0,5.0,1.0
55,5.0,5.0,1.0
56,5.0,3.0,0.6
57,5.0,5.0,1.0
58,5.0,2.0,0.4
59,5.0,1.0,0.2
6,5.0,3.0,0.6
60,5.0,0.0,0.0
61,5.0,2.0,0.4
62,5.0,5.0,1.0
63,5.0,2.0,0.4
64,5.0,5.0,1.0
65,5.0,5.0,1.0
7,5.0,5.0,1.0
8,5.0,5.0,1.0
9,5.0,5.0,1.0
patient_id,2.0,0.0,0.0
