patient_id,n_samples,n_correct,acc
0,4.0,4.0,1.0
1,4.0,2.0,0.5
10,4.0,0.0,0.0
11,4.0,2.0,0.5
12,4.0,0.0,0.0
13,4.0,2.0,0.5
14,4.0,2.0,0.5
15,4.0,4.0,1.0
16,4.0,4.0,1.0
17,4.0,4.0,1.0
18,4.0,2.0,0.5
19,4.0,2.0,0.5
2,4.0,0.0,0.0
20,4.0,4.0,1.0
21,4.0,2.0,0.5
22,4.0,4.0,1.0
23,4.0,2.0,0.5
24,4.0,2.0,0.5
25,4.0,2.0,0.5
26,4.0,2.0,0.5
27,4.0,2.0,0.5
28,4.0,4.0,1.0
29,4.0,2.0,0.5
3,4.0,4.0,1.0
30,4.0,4.0,1.0
31,4.0,2.0,0.5
32,4.0,2.0,0.5
33,4.0,4.0,1.0
34,4.0,2.0,0.5
35,4.0,2.0,0.5
4,4.0,2.0,0.5
5,4.0,4.0,1.0
6,4.0,4.0,1.0
7,4.0,4.0,1.0
8,4.0,4.0,1.0
9,4.0,4.0,1.0
patient_id,1.0,0.0,0.0
