patient_id,n_samples,n_correct,acc
1,4.0,0.0,0.0
10,4.0,2.0,0.5
11,4.0,0.0,0.0
12,4.0,2.0,0.5
13,4.0,2.0,0.5
14,4.0,2.0,0.5
15,4.0,2.0,0.5
16,4.0,2.0,0.5
17,4.0,2.0,0.5
18,4.0,0.0,0.0
19,4.0,2.0,0.5
2,4.0,2.0,0.5
20,4.0,2.0,0.5
21,4.0,2.0,0.5
22,4.0,2.0,0.5
23,4.0,0.0,0.0
24,4.0,2.0,0.5
25,4.0,2.0,0.5
26,4.0,0.0,0.0
27,4.0,2.0,0.5
29,4.0,0.0,0.0
30,4.0,4.0,1.0
31,4.0,0.0,0.0
32,4.0,2.0,0.5
33,4.0,2.0,0.5
34,4.0,2.0,0.5
35,4.0,4.0,1.0
36,4.0,4.0,1.0
37,4.0,4.0,1.0
38,4.0,2.0,0.5
4,4.0,2.0,0.5
5,4.0,2.0,0.5
6,4.0,0.0,0.0
7,4.0,0.0,0.0
8,4.0,2.0,0.5
9,4.0,2.0,0.5
patient_id,1.0,0.0,0.0
