fold,patient_id,y_true,subject_pred,n_windows,win_correct,win_acc
1,11,0,1,,,
1,17,0,0,,,
1,17,1,0,,,
1,7,0,0,,,
1,7,0,0,,,
1,7,0,0,,,
1,7,1,0,,,
1,7,0,0,,,
1,11,0,1,,,
1,11,0,1,,,
1,11,0,1,,,
1,11,0,1,,,
1,11,0,1,,,
1,17,0,0,,,
2,5,0,0,,,
2,5,0,0,,,
2,5,1,0,,,
2,5,1,0,,,
2,5,0,0,,,
2,5,0,0,,,
2,6,0,0,,,
2,6,0,0,,,
2,6,0,0,,,
2,6,0,0,,,
2,6,0,0,,,
2,13,0,0,,,
2,13,0,1,,,
2,13,0,0,,,
2,13,0,0,,,
2,13,1,0,,,
3,3,0,1,,,
3,3,0,1,,,
3,3,0,1,,,
3,3,0,1,,,
3,3,0,1,,,
3,3,1,1,,,
3,12,1,1,,,
3,12,0,1,,,
3,12,0,1,,,
3,12,1,1,,,
3,12,0,1,,,
3,12,0,1,,,
4,1,0,1,,,
4,1,0,0,,,
4,1,1,1,,,
4,1,0,0,,,
4,1,0,0,,,
4,8,0,0,,,
4,8,0,0,,,
4,8,0,0,,,
4,8,0,0,,,
4,18,0,1,,,
4,18,1,0,,,
4,18,0,0,,,
4,18,0,0,,,
5,10,1,1,,,
5,10,0,1,,,
5,10,1,1,,,
5,2,0,1,,,
5,4,0,1,,,
5,4,0,1,,,
5,4,0,1,,,
5,4,0,1,,,
5,4,0,1,,,
5,4,1,1,,,
5,9,0,1,,,
5,9,0,1,,,
5,14,0,1,,,
5,14,0,1,,,
5,16,1,1,,,
