patient_id,n_samples,n_correct,acc
1,3.0,0.0,0.0
2,3.0,2.0,0.6667
3,3.0,3.0,1.0
4,3.0,0.0,0.0
5,3.0,3.0,1.0
6,3.0,1.0,0.3333
7,3.0,1.0,0.3333
8,3.0,2.0,0.6667
9,3.0,2.0,0.6667
10,3.0,0.0,0.0
11,3.0,2.0,0.6667
12,3.0,1.0,0.3333
13,3.0,3.0,1.0
14,3.0,3.0,1.0
15,3.0,1.0,0.3333
16,3.0,0.0,0.0
17,3.0,2.0,0.6667
18,3.0,0.0,0.0
19,3.0,3.0,1.0
20,3.0,0.0,0.0
21,3.0,0.0,0.0
22,3.0,0.0,0.0
23,3.0,1.0,0.3333
24,3.0,0.0,0.0
25,3.0,3.0,1.0
26,3.0,3.0,1.0
27,3.0,1.0,0.3333
28,3.0,0.0,0.0
29,3.0,0.0,0.0
30,3.0,0.0,0.0
31,3.0,2.0,0.6667
32,3.0,0.0,0.0
33,3.0,0.0,0.0
34,3.0,0.0,0.0
35,3.0,0.0,0.0
36,3.0,1.0,0.3333
37,3.0,0.0,0.0
38,3.0,0.0,0.0
39,3.0,1.0,0.3333
40,3.0,1.0,0.3333
41,3.0,0.0,0.0
42,3.0,1.0,0.3333
43,3.0,0.0,0.0
44,3.0,2.0,0.6667
45,3.0,0.0,0.0
46,3.0,0.0,0.0
47,3.0,3.0,1.0
48,3.0,0.0,0.0
49,3.0,0.0,0.0
50,3.0,1.0,0.3333
51,3.0,0.0,0.0
52,3.0,0.0,0.0
53,3.0,0.0,0.0
54,3.0,3.0,1.0
55,3.0,0.0,0.0
56,3.0,0.0,0.0
57,3.0,0.0,0.0
58,3.0,2.0,0.6667
59,3.0,3.0,1.0
60,3.0,2.0,0.6667
61,3.0,0.0,0.0
62,3.0,0.0,0.0
63,3.0,0.0,0.0
64,3.0,3.0,1.0
65,3.0,3.0,1.0
