patient_id,n_samples,n_correct,acc
1,2.0,0.0,0.0
2,2.0,0.0,0.0
4,2.0,0.0,0.0
5,2.0,0.0,0.0
6,2.0,2.0,1.0
7,2.0,1.0,0.5
8,2.0,2.0,1.0
9,2.0,1.0,0.5
10,2.0,2.0,1.0
11,2.0,0.0,0.0
12,2.0,2.0,1.0
13,2.0,2.0,1.0
14,2.0,1.0,0.5
15,2.0,0.0,0.0
16,2.0,1.0,0.5
17,2.0,2.0,1.0
18,2.0,2.0,1.0
19,2.0,1.0,0.5
20,2.0,1.0,0.5
21,2.0,2.0,1.0
22,2.0,1.0,0.5
23,2.0,1.0,0.5
24,2.0,1.0,0.5
25,2.0,2.0,1.0
26,2.0,0.0,0.0
27,2.0,2.0,1.0
29,2.0,0.0,0.0
30,2.0,2.0,1.0
31,2.0,1.0,0.5
32,2.0,1.0,0.5
33,2.0,1.0,0.5
34,2.0,0.0,0.0
35,2.0,1.0,0.5
36,2.0,2.0,1.0
37,2.0,0.0,0.0
38,2.0,1.0,0.5
