patient_id,n_samples,n_correct,acc
1,12.0,9.0,0.75
2,12.0,9.0,0.75
3,12.0,9.0,0.75
4,12.0,9.0,0.75
5,12.0,7.0,0.5833
6,12.0,9.0,0.75
7,12.0,5.0,0.4167
8,12.0,10.0,0.8333
9,12.0,9.0,0.75
10,12.0,11.0,0.9167
11,12.0,3.0,0.25
12,12.0,8.0,0.6667
13,12.0,9.0,0.75
14,12.0,3.0,0.25
15,12.0,3.0,0.25
16,12.0,3.0,0.25
17,12.0,4.0,0.3333
18,12.0,3.0,0.25
19,12.0,3.0,0.25
20,12.0,7.0,0.5833
21,12.0,9.0,0.75
22,12.0,3.0,0.25
23,12.0,9.0,0.75
24,12.0,10.0,0.8333
25,12.0,3.0,0.25
26,12.0,9.0,0.75
27,12.0,6.0,0.5
28,12.0,3.0,0.25
29,12.0,3.0,0.25
30,12.0,3.0,0.25
31,12.0,9.0,0.75
32,12.0,3.0,0.25
33,12.0,9.0,0.75
34,12.0,3.0,0.25
35,12.0,9.0,0.75
36,12.0,3.0,0.25
37,12.0,3.0,0.25
38,12.0,3.0,0.25
39,12.0,8.0,0.6667
40,12.0,6.0,0.5
