patient_id,n_samples,n_correct,acc
1,12.0,9.0,0.75
2,12.0,9.0,0.75
3,12.0,10.0,0.8333
4,12.0,9.0,0.75
5,12.0,9.0,0.75
6,12.0,9.0,0.75
7,12.0,8.0,0.6667
8,12.0,10.0,0.8333
9,12.0,5.0,0.4167
10,12.0,9.0,0.75
11,12.0,9.0,0.75
12,12.0,7.0,0.5833
13,12.0,10.0,0.8333
14,12.0,10.0,0.8333
15,12.0,9.0,0.75
16,12.0,8.0,0.6667
17,12.0,9.0,0.75
18,12.0,9.0,0.75
19,12.0,10.0,0.8333
20,12.0,10.0,0.8333
21,12.0,9.0,0.75
22,12.0,9.0,0.75
23,12.0,9.0,0.75
24,12.0,9.0,0.75
25,12.0,9.0,0.75
26,12.0,9.0,0.75
27,12.0,9.0,0.75
28,12.0,4.0,0.3333
29,12.0,10.0,0.8333
30,12.0,9.0,0.75
31,12.0,9.0,0.75
32,12.0,5.0,0.4167
33,12.0,9.0,0.75
34,12.0,10.0,0.8333
35,12.0,9.0,0.75
36,12.0,8.0,0.6667
37,12.0,9.0,0.75
38,12.0,7.0,0.5833
39,12.0,9.0,0.75
40,12.0,9.0,0.75
