fold,patient_id,y_true,subject_pred,n_windows,win_correct,win_acc
1,13,1,1,,,
1,13,1,1,,,
1,13,1,1,,,
1,20,1,0,,,
1,20,1,0,,,
1,20,1,0,,,
1,21,1,0,,,
1,21,1,1,,,
1,21,1,1,,,
1,24,1,0,,,
1,24,1,0,,,
1,24,1,0,,,
1,26,1,1,,,
1,26,1,1,,,
1,26,1,1,,,
1,3,1,1,,,
1,3,1,0,,,
1,3,1,1,,,
1,6,1,0,,,
1,6,1,1,,,
1,6,1,1,,,
1,9,1,1,,,
1,9,1,0,,,
1,9,1,1,,,
1,13,1,1,,,
1,13,1,1,,,
1,13,1,1,,,
1,20,1,1,,,
1,20,1,0,,,
1,20,1,0,,,
1,21,1,1,,,
1,21,1,0,,,
1,21,1,1,,,
1,24,1,0,,,
1,24,1,1,,,
1,24,1,0,,,
1,26,1,1,,,
1,26,1,1,,,
1,26,1,1,,,
1,3,1,0,,,
1,3,1,0,,,
1,3,1,1,,,
1,6,1,1,,,
1,6,1,1,,,
1,6,1,1,,,
1,9,1,0,,,
1,9,1,0,,,
1,9,1,0,,,
1,13,0,1,,,
1,13,0,1,,,
1,13,0,1,,,
1,20,0,0,,,
1,20,0,0,,,
1,20,0,1,,,
1,21,0,0,,,
1,21,0,1,,,
1,21,0,1,,,
1,24,0,0,,,
1,24,0,0,,,
1,24,0,0,,,
1,26,0,1,,,
1,26,0,1,,,
1,26,0,1,,,
1,3,0,0,,,
1,3,0,1,,,
1,3,0,1,,,
1,6,0,1,,,
1,6,0,1,,,
1,6,0,1,,,
1,9,0,0,,,
1,9,0,0,,,
1,9,0,0,,,
1,13,1,1,,,
1,13,1,1,,,
1,13,1,1,,,
1,20,1,1,,,
1,20,1,0,,,
1,20,1,0,,,
1,21,1,0,,,
1,21,1,1,,,
1,21,1,1,,,
1,24,1,1,,,
1,24,1,0,,,
1,24,1,0,,,
1,26,1,1,,,
1,26,1,1,,,
1,26,1,1,,,
1,3,1,1,,,
1,3,1,1,,,
1,3,1,1,,,
1,6,1,0,,,
1,6,1,0,,,
1,6,1,1,,,
1,9,1,1,,,
1,9,1,0,,,
1,9,1,0,,,
2,14,1,1,,,
2,14,1,1,,,
2,14,1,1,,,
2,16,1,0,,,
2,16,1,1,,,
2,16,1,0,,,
2,18,1,0,,,
2,18,1,1,,,
2,18,1,1,,,
2,30,1,1,,,
2,30,1,1,,,
2,30,1,1,,,
2,31,1,1,,,
2,31,1,1,,,
2,31,1,1,,,
2,33,1,1,,,
2,33,1,1,,,
2,33,1,1,,,
2,38,1,1,,,
2,38,1,0,,,
2,38,1,1,,,
2,8,1,1,,,
2,8,1,1,,,
2,8,1,1,,,
2,14,1,1,,,
2,14,1,1,,,
2,14,1,1,,,
2,16,1,0,,,
2,16,1,0,,,
2,16,1,0,,,
2,18,1,0,,,
2,18,1,0,,,
2,18,1,1,,,
2,30,1,1,,,
2,30,1,1,,,
2,30,1,1,,,
2,31,1,1,,,
2,31,1,1,,,
2,31,1,1,,,
2,33,1,1,,,
2,33,1,1,,,
2,33,1,1,,,
2,38,1,1,,,
2,38,1,1,,,
2,38,1,1,,,
2,8,1,1,,,
2,8,1,1,,,
2,8,1,1,,,
2,14,0,1,,,
2,14,0,0,,,
2,14,0,1,,,
2,16,0,0,,,
2,16,0,0,,,
2,16,0,0,,,
2,18,0,1,,,
2,18,0,1,,,
2,18,0,0,,,
2,30,0,1,,,
2,30,0,0,,,
2,30,0,1,,,
2,31,0,0,,,
2,31,0,1,,,
2,31,0,1,,,
2,33,0,1,,,
2,33,0,1,,,
2,33,0,1,,,
2,38,0,1,,,
2,38,0,0,,,
2,38,0,1,,,
2,8,0,1,,,
2,8,0,0,,,
2,8,0,1,,,
2,14,1,1,,,
2,14,1,1,,,
2,14,1,1,,,
2,16,1,0,,,
2,16,1,0,,,
2,16,1,0,,,
2,18,1,0,,,
2,18,1,0,,,
2,18,1,0,,,
2,30,1,1,,,
2,30,1,1,,,
2,30,1,1,,,
2,31,1,1,,,
2,31,1,1,,,
2,31,1,1,,,
2,33,1,1,,,
2,33,1,1,,,
2,33,1,1,,,
2,38,1,1,,,
2,38,1,0,,,
2,38,1,0,,,
2,8,1,1,,,
2,8,1,1,,,
2,8,1,1,,,
3,11,1,1,,,
3,11,1,1,,,
3,11,1,1,,,
3,15,1,1,,,
3,15,1,1,,,
3,15,1,1,,,
3,22,1,1,,,
3,22,1,1,,,
3,22,1,1,,,
3,25,1,1,,,
3,25,1,1,,,
3,25,1,1,,,
3,27,1,1,,,
3,27,1,1,,,
3,27,1,1,,,
3,28,1,0,,,
3,28,1,1,,,
3,28,1,1,,,
3,32,1,0,,,
3,32,1,0,,,
3,32,1,0,,,
3,37,1,1,,,
3,37,1,1,,,
3,37,1,1,,,
3,11,1,1,,,
3,11,1,1,,,
3,11,1,1,,,
3,15,1,1,,,
3,15,1,1,,,
3,15,1,1,,,
3,22,1,1,,,
3,22,1,1,,,
3,22,1,1,,,
3,25,1,1,,,
3,25,1,1,,,
3,25,1,1,,,
3,27,1,1,,,
3,27,1,1,,,
3,27,1,1,,,
3,28,1,1,,,
3,28,1,1,,,
3,28,1,1,,,
3,32,1,0,,,
3,32,1,1,,,
3,32,1,1,,,
3,37,1,1,,,
3,37,1,1,,,
3,37,1,1,,,
3,11,0,1,,,
3,11,0,1,,,
3,11,0,1,,,
3,15,0,1,,,
3,15,0,1,,,
3,15,0,1,,,
3,22,0,1,,,
3,22,0,1,,,
3,22,0,1,,,
3,25,0,1,,,
3,25,0,1,,,
3,25,0,1,,,
3,27,0,0,,,
3,27,0,0,,,
3,27,0,0,,,
3,28,0,0,,,
3,28,0,1,,,
3,28,0,0,,,
3,32,0,0,,,
3,32,0,0,,,
3,32,0,0,,,
3,37,0,1,,,
3,37,0,1,,,
3,37,0,1,,,
3,11,1,1,,,
3,11,1,1,,,
3,11,1,1,,,
3,15,1,1,,,
3,15,1,1,,,
3,15,1,1,,,
3,22,1,1,,,
3,22,1,1,,,
3,22,1,1,,,
3,25,1,1,,,
3,25,1,1,,,
3,25,1,1,,,
3,27,1,1,,,
3,27,1,1,,,
3,27,1,1,,,
3,28,1,1,,,
3,28,1,1,,,
3,28,1,0,,,
3,32,1,0,,,
