patient_id,n_samples,n_correct,acc
1,12.0,6.0,0.5
2,12.0,11.0,0.9167
3,12.0,11.0,0.9167
4,12.0,4.0,0.3333
5,12.0,9.0,0.75
6,12.0,6.0,0.5
7,12.0,5.0,0.4167
8,12.0,6.0,0.5
9,12.0,5.0,0.4167
10,12.0,10.0,0.8333
11,12.0,4.0,0.3333
12,12.0,2.0,0.1667
13,12.0,6.0,0.5
14,12.0,9.0,0.75
15,12.0,9.0,0.75
16,12.0,5.0,0.4167
17,12.0,7.0,0.5833
18,12.0,5.0,0.4167
19,12.0,9.0,0.75
20,12.0,4.0,0.3333
21,12.0,9.0,0.75
22,12.0,5.0,0.4167
23,12.0,9.0,0.75
24,12.0,4.0,0.3333
25,12.0,2.0,0.1667
26,12.0,9.0,0.75
27,12.0,6.0,0.5
28,12.0,4.0,0.3333
29,12.0,8.0,0.6667
30,12.0,6.0,0.5
31,12.0,11.0,0.9167
32,12.0,3.0,0.25
33,12.0,6.0,0.5
34,12.0,8.0,0.6667
35,12.0,5.0,0.4167
36,12.0,3.0,0.25
37,12.0,9.0,0.75
38,12.0,7.0,0.5833
39,12.0,8.0,0.6667
40,12.0,9.0,0.75
