patient_id,n_samples,n_correct,acc
1,12.0,10.0,0.8333
2,12.0,9.0,0.75
3,12.0,8.0,0.6667
4,12.0,9.0,0.75
5,12.0,11.0,0.9167
6,12.0,8.0,0.6667
7,12.0,6.0,0.5
8,12.0,11.0,0.9167
9,12.0,9.0,0.75
10,12.0,10.0,0.8333
11,12.0,3.0,0.25
12,12.0,9.0,0.75
13,12.0,9.0,0.75
14,12.0,7.0,0.5833
15,12.0,11.0,0.9167
16,12.0,4.0,0.3333
17,12.0,9.0,0.75
18,12.0,3.0,0.25
19,12.0,1.0,0.0833
20,12.0,3.0,0.25
21,12.0,9.0,0.75
22,12.0,3.0,0.25
23,12.0,9.0,0.75
24,12.0,7.0,0.5833
25,12.0,9.0,0.75
26,12.0,3.0,0.25
27,12.0,10.0,0.8333
28,12.0,3.0,0.25
29,12.0,3.0,0.25
30,12.0,4.0,0.3333
31,12.0,6.0,0.5
32,12.0,2.0,0.1667
33,12.0,2.0,0.1667
34,12.0,7.0,0.5833
35,12.0,9.0,0.75
36,12.0,3.0,0.25
37,12.0,7.0,0.5833
38,12.0,2.0,0.1667
39,12.0,11.0,0.9167
40,12.0,4.0,0.3333
